stop_id,stop_name,stop_desc
1356,la Plata - Fonteta Sant Lluís,AV PLATA  DE  LA 7 (DAVANT) - VALÈNCIA
1357,la Plata - Actriu Pepita Serrador,AV PLATA  DE  LA 33 (DAVANT) - VALÈNCIA
136,Sants Just i Pastor - Lleons,C SANTOS JUSTO Y PASTOR 59 - VALÈNCIA
1361,Tarongers - Ramon Llull,AV NARANJOS  LOS DAVANT CIÈNCIES SOCIALS. - VALÈNCIA
1362,Tomàs Montañana - Albereda,C PADRE TOMAS MONTAÑANA ROTONDA (PAR) - VALÈNCIA
1363,Regne de València (impar) - Alcalde Reig,AV REGNE DE VALENCIA 100 (DAVANT) - VALÈNCIA
1364,Regne de València (par) - Alcalde Reig,AV REGNE DE VALENCIA 102 - VALÈNCIA
1365,Tomàs Montañana - França,C PADRE TOMAS MONTAÑANA ROTONDA (IMPAR) - VALÈNCIA
1366,Alqueria Nova - Cortes d'Arenós,C ALQUERIA NOVA CORTES D'ARENÓS - VALÈNCIA
1369,Tres Creus (central) - Pare Esteban Pernet,AV TRES CRUCES BARDISSA CENTRAL - VALÈNCIA
137,Sants Just i Pastor - Dr. Manuel Candela,C SANTOS JUSTO Y PASTOR 27 - VALÈNCIA
1370,Pare Esteban Pernet - Misericòrdia,C PADRE ESTEBAN PERNET MISERICÒRDIA - VALÈNCIA
1374,Punta al Mar (par) - Riu,CAMI PUNTA AL MAR  DE LA 29 (DAVANT) - VALÈNCIA
1375,Punta al Mar (par) - Canal,CAMI PUNTA AL MAR  DE LA 57 (DAVANT) - VALÈNCIA
1376,Camí del Canal (impar) - Guitarrista Tàrrega,CAMI CANAL 40 - VALÈNCIA
138,Sants Just i Pastor - República Argentina,C SANTOS JUSTO Y PASTOR 9 - VALÈNCIA
1380,Punta al Mar (impar) - Canal,CAMI PUNTA AL MAR  DE LA 57 - VALÈNCIA
1381,Punta al Mar (impar) - Riu,CAMI PUNTA AL MAR  DE LA 29 - VALÈNCIA
1382,Blasco Ibáñez (central) - Hospital Clínic,AV BLASCO IBAÑEZ BARDISSA CENTRAL (H.CLÍNIC) - VALÈNCIA
1384,Serradora - Poliesportiu,C SERRERIA POLIESPORTIU - VALÈNCIA
1385,Martí Grajales - Serradora,C MARTI GRAJALES 2 - VALÈNCIA
1386,Serradora - Ambulatori,C SERRERIA 73 - VALÈNCIA
1387,Sants Just i Pastor - Fusta,C SANTOS JUSTO Y PASTOR 151 - VALÈNCIA
139,Sants Just i Pastor - Lluís de Milà,C SANTOS JUSTO Y PASTOR 22 - VALÈNCIA
14,Cavite - Riu Tajo,C CAVITE 26 - VALÈNCIA
140,Sants Just i Pastor - Duc de Gaeta,C SANTOS JUSTO Y PASTOR 56 - VALÈNCIA
1409,Blasco Ibáñez - Manuela Estelles,AV BLASCO IBAÑEZ 200 - VALÈNCIA
141,Sants Just i Pastor - Peris Brell,C SANTOS JUSTO Y PASTOR 78 - VALÈNCIA
1410,Guillermina Medrano (impar) - Borbotó,C GUILLERMINA MEDRANO S/N (IMPAR) - BORBOTÓ
1411,Guillermina Medrano (par) - Borbotó,C GUILLERMINA MEDRANO S/N (PAR) - BORBOTÓ
1413,Real de Madrid - Entrada Pinet,AV REAL DE MADRID 101-103 - VALÈNCIA
1416,Inst. Obrer de Val. (impar) - Autopista Saler,C INSTITUTO OBRERO DE VALENCIA 21 - VALÈNCIA
1417,Inst. Obrer de Val. (impar) - General Urrutia,C INSTITUTO OBRERO DE VALENCIA 3 - VALÈNCIA
1418,Inst. Obrer de Val. (par) - General Urrutia,C INSTITUTO OBRERO DE VALENCIA 2 - VALÈNCIA
1419,Inst. Obrer de Val. (par) - Autopista Saler,C INSTITUTO OBRERO DE VALENCIA 17 (DAVANT) - VALÈNCIA
1421,Petxina - Torres,PSEG PECHINA 53 - VALÈNCIA
1422,Petxina - Pérez Galdos,PSEG PECHINA 47 - VALÈNCIA
1423,Petxina - Terol,PSEG PECHINA 41 - VALÈNCIA
1424,Petxina - Ferran el Catòlic,PSEG PECHINA 28 - VALÈNCIA
1425,Petxina - Túria,PSEG PECHINA 3 - VALÈNCIA
1427,Jacinto Benavente - Borriana,AV JACINTO BENAVENTE 16 - VALÈNCIA
1428,Jacinto Benavente - Peris i Valero,AV JACINTO BENAVENTE S/N - VALÈNCIA
1430,Albereda - Illes Canàries,PSEG ALAMEDA 31 - VALÈNCIA
1431,Tirso de Molina - Pius XII,AV TIRSO DE MOLINA 5 (ACCÉS) - VALÈNCIA
1432,Tirso de Molina - Mestre Rodrigo,AV TIRSO DE MOLINA 21 - VALÈNCIA
1435,Tres Creus - Prínceps de Mònaco,AV TRES CRUCES 22 - VALÈNCIA
1436,Ausiàs March - Dr. Waksman,AV AUSIAS MARCH 7 - VALÈNCIA
1438,Dr. Tomàs Sala - Gaspar Aguilar,C DOCTOR TOMAS SALA S/N (CARRIL BUS)(PAR) - VALÈNCIA
144,Dr. Manuel Candela (par) - Rodríguez de Cepeda,C DOCTOR MANUEL CANDELA 28 - VALÈNCIA
1440,Dr. Tomàs Sala - Sant Marcel.lí,C DOCTOR TOMAS SALA 10 (CARRIL BUS) - VALÈNCIA
1441,Dr. Tomàs Sala (par) - Sant Vicent Màrtir,C DOCTOR TOMAS SALA 43(DAVANT CARRIL BUS) - VALÈNCIA
1442,Dr. Tomàs Sala (impar) - Sant Vicent Màrtir,C DOCTOR TOMAS SALA 43 (CARRIL BUS) - VALÈNCIA
1443,Dr. Tomàs Sala - Carters,C DOCTOR TOMAS SALA 23 (CARRIL BUS) - VALÈNCIA
1444,Dr. Tomàs Sala - General Barroso,C DOCTOR TOMAS SALA S/N (CARRIL BUS) (IMPAR) - VALÈNCIA
1448,Camp de Túria - Mestre Rodrigo,C CAMP DEL TURIA 16 - VALÈNCIA
145,Dr. Manuel Candela (par) - Blasco Ibáñez,C DOCTOR MANUEL CANDELA 72 - VALÈNCIA
1461,França - Albereda,AV FRANCIA 1 - VALÈNCIA
1462,Albereda - Pont del Regne,PSEG ALAMEDA PONT DEL REGNE - VALÈNCIA
1463,Malilla (impar) - Illa Formentera,CTRA MALILLA 89 - VALÈNCIA
1464,Malilla (impar) - Illa Cabrera,CTRA MALILLA 65 ACC. - VALÈNCIA
1465,Malilla (impar) - Bernat Descoll,CTRA MALILLA S/N (JARDÍ) - VALÈNCIA
1472,Pius IX - Salvador Perles,AV PIO IX S/N - VALÈNCIA
1473,Pius IX - Cabanilles,AV PIO IX 27 - VALÈNCIA
1474,Camí vell Picassent - Acc. Cementeri,CAMI VIEJO PICASENT S/N - VALÈNCIA
1475,Camí vell Picassent - Tanatori Municipal,CAMI VIEJO PICASENT S/N - VALÈNCIA
1484,Portugal - Canoner,AV PORTUGAL 1 - VALÈNCIA
1485,Palmaret - Rosa dels Vents (davant),AV PALMARET  DEL S/N - CARPESA
1489,Tarongers - Davant Acc.Pta.Prin.Universitats,AV NARANJOS  LOS S/N - VALÈNCIA
1490,Tarongers - Junt Entrada Universitats,AV NARANJOS  LOS S/N - VALÈNCIA
1492,Albalat dels Tarongers - Vinalopó,C ALBALAT DELS TARONGERS 22(DAVANT) - VALÈNCIA
1499,Sants Just i Pastor - Indústria,C SANTOS JUSTO Y PASTOR JUNT ESTACIÓ METRO - VALÈNCIA
150,Cardenal Benlloch (par) - Port,AV CARDENAL BENLLOCH 6 - VALÈNCIA
1500,Sants Just i Pastor - Escultor Esteve Edo,C SANTOS JUSTO Y PASTOR JUNT COLEGI - VALÈNCIA
1501,Sants Just i Pastor - Serradora,C SANTOS JUSTO Y PASTOR 154 - VALÈNCIA
1503,Sants Just i Pastor - Music Ginés,C SANTOS JUSTO Y PASTOR 103 - VALÈNCIA
1515,Sants Just i Pastor - Jose Maria Haro,C SANTOS JUSTO Y PASTOR 145 - VALÈNCIA
1518,la Malva-rosa - Fuerteventura,AV MALVARROSA 89 - VALÈNCIA
1520,Guillem de Castro - Sant Agustí,PL SAN AGUSTIN 2 - VALÈNCIA
1526,Dos de Mayo - Camí vell de Xirivella,C  13 - MISLATA
153,Cardenal Benlloch - Dr. Vicente Pallarés,AV CARDENAL BENLLOCH 104 - VALÈNCIA
1532,Menorca - França,C  s/n - VALÈNCIA
1533,França-Samuel Ros,AV FRANCIA 51 - VALÈNCIA
1534,França-Vicente Beltrán,AV FRANCIA 18 (davant) - VALÈNCIA
1535,França-Pare Tomas Montañana,AV FRANCIA 2 (davant) - VALÈNCIA
1536,Albereda - Eduard Boscà,PSEG ALAMEDA s/n - VALÈNCIA
1537,Albereda - Pont Àngel Custodi,PSEG ALAMEDA s/n - VALÈNCIA
1538,França-Albereda,AV FRANCIA 4 - VALÈNCIA
1539,França-Pintor Maella,AV FRANCIA s/n - VALÈNCIA
154,Blasco Ibáñez - Rubén Darío,AV BLASCO IBAÑEZ 37 (BARDISSA LATERAL) - VALÈNCIA
1540,França-Trafalgar,AV FRANCIA 44 - VALÈNCIA
1541,Menorca - Balears,C  s/n - VALÈNCIA
1543,Xàtiva - Institut,C XATIVA S/N - VALÈNCIA
1546,Gran Canària - Mendizábal,C  42 - VALÈNCIA
1547,Uruguai - Crta. Escrivà,C URUGUAY 27 - VALÈNCIA
1548,Maximilià Thous - Constitució,C MAXIMILIANO THOUS 1 - VALÈNCIA
155,Blasco Ibáñez - Almela i Vives,AV BLASCO IBAÑEZ 31 - VALÈNCIA
1550,Beat Juan Grande - Sant Joan de Déu,C  S/N - VALÈNCIA
1551,Tarongers - Pare Antón Martí,AV NARANJOS  LOS 43 - VALÈNCIA
1552,Marí Blas de Lezo - Felip Gauna,C MARINO BLAS DE LEZO 30 - VALÈNCIA
1562,Palmaret - Rosa dels Vents,AV PALMARET  DEL s/n - CARPESA
1563,Sant Agustí - Sant Pau,PL SAN AGUSTIN 2 - VALÈNCIA
1566,Corts Valencianes (impar) - la Safor,AV CORTS VALENCIANES 35 - VALÈNCIA
157,Blasco Ibáñez - Gascó Oliag,AV BLASCO IBAÑEZ 25 - VALÈNCIA
1572,Sant Antoni - del Quint,AV SAN ANTONIO 144 - MISLATA
1574,Ferran el Catòlic - Petxina,GV FERNANDO EL CATOLICO s/n - VALÈNCIA
158,Blasco Ibáñez (impar) - Ciutat Universitària,AV BLASCO IBAÑEZ 21 DUP. - VALÈNCIA
1584,Joaquím Ballester - Pare Ferrís,C JOAQUÍN BALLESTER 8 - VALÈNCIA
1585,Castell de Pop - Jesús Natzaré,C CASTELL DE POP S/N - VALÈNCIA
1587,Reina - Armada Espanyola,C REINA (C.) 3 - VALÈNCIA
1589,Dr. J.J.Dòmine - Port,C DOCTOR J.J. DOMINE 4 - VALÈNCIA
1590,Joan Verdaguer - Port,C  S/N - VALÈNCIA
1591,Joan Verdaguer - Pare Porta,C  34 (DAVANT) - VALÈNCIA
1592,Joan Verdaguer - Issac Peral,C  5 - VALÈNCIA
1593,Eivissa - Prof.Vicente Llorens,C  3 - VALÈNCIA
1594,Illes Canàries - Noguera,C ISLAS CANARIAS 227 - VALÈNCIA
1595,Illes Canàries - Trafalgar,C ISLAS CANARIAS 193 - VALÈNCIA
1596,Illes Canàries - Vicente Beltrán,C ISLAS CANARIAS 133 ACC - VALÈNCIA
1597,Illes Canàries - Lebon,C ISLAS CANARIAS 78 (DAVANT) - VALÈNCIA
